date,geoRegion,ageRange,sex,cases,hosps,deaths
202009,SO,50 - 59,female,0,0,0
202009,SO,50 - 59,unknown,0,0,0
202009,SO,60 - 69,male,0,0,0
202009,SO,60 - 69,female,0,0,0
202009,SO,60 - 69,unknown,0,0,0
202009,SO,70 - 79,male,0,0,0
202009,SO,70 - 79,female,0,0,0
202009,SO,70 - 79,unknown,0,0,0
202009,SO,80+,male,0,0,0
202009,SO,80+,female,0,0,0
202009,SO,80+,unknown,0,0,0
202009,SO,unknown,male,0,0,0
202009,SO,unknown,female,0,0,0
202009,SO,unknown,unknown,0,0,0
202009,SZ,0 - 9,male,0,0,0
202009,SZ,0 - 9,female,0,0,0
202009,SZ,0 - 9,unknown,0,0,0
202009,SZ,10 - 19,male,0,0,0
202009,SZ,10 - 19,female,0,0,0
202009,SZ,10 - 19,unknown,0,0,0
202009,SZ,20 - 29,male,0,0,0
202009,SZ,20 - 29,female,0,0,0
202009,SZ,20 - 29,unknown,0,0,0
202009,SZ,30 - 39,male,0,0,0
202009,SZ,30 - 39,female,0,0,0
202009,SZ,30 - 39,unknown,0,0,0
202009,SZ,40 - 49,male,0,0,0
202009,SZ,40 - 49,female,0,0,0
202009,SZ,40 - 49,unknown,0,0,0
202009,SZ,50 - 59,male,0,0,0
202009,SZ,50 - 59,female,0,0,0
202009,SZ,50 - 59,unknown,0,0,0
202009,SZ,60 - 69,male,0,0,0
202009,SZ,60 - 69,female,0,0,0
202009,SZ,60 - 69,unknown,0,0,0
202009,SZ,70 - 79,male,0,0,0
202009,SZ,70 - 79,female,0,1,0
202009,SZ,70 - 79,unknown,0,0,0
202009,SZ,80+,male,0,0,0
202009,SZ,80+,female,0,0,0
202009,SZ,80+,unknown,0,0,0
202009,SZ,unknown,male,0,0,0
202009,SZ,unknown,female,0,0,0
202009,SZ,unknown,unknown,0,0,0
202009,TG,0 - 9,male,0,0,0
202009,TG,0 - 9,female,0,0,0
202009,TG,0 - 9,unknown,0,0,0
202009,TG,10 - 19,male,0,0,0
202009,TG,10 - 19,female,0,0,0
202009,TG,10 - 19,unknown,0,0,0
202009,TG,20 - 29,male,0,0,0
202009,TG,20 - 29,female,0,0,0
202009,TG,20 - 29,unknown,0,0,0
202009,TG,30 - 39,male,0,0,0
202009,TG,30 - 39,female,0,0,0
202009,TG,30 - 39,unknown,0,0,0
202009,TG,40 - 49,male,0,0,0
202009,TG,40 - 49,female,0,0,0
202009,TG,40 - 49,unknown,0,0,0
202009,TG,50 - 59,male,0,0,0
202009,TG,50 - 59,female,0,1,0
202009,TG,50 - 59,unknown,0,0,0
202009,TG,60 - 69,male,0,0,0
202009,TG,60 - 69,female,0,0,0
202009,TG,60 - 69,unknown,0,0,0
202009,TG,70 - 79,male,0,0,0
202009,TG,70 - 79,female,0,0,0
202009,TG,70 - 79,unknown,0,0,0
202009,TG,80+,male,0,0,0
202009,TG,80+,female,0,0,0
202009,TG,80+,unknown,0,0,0
202009,TG,unknown,male,0,0,0
202009,TG,unknown,female,0,0,0
202009,TG,unknown,unknown,0,0,0
202009,TI,0 - 9,male,0,0,0
202009,TI,0 - 9,female,0,0,0
202009,TI,0 - 9,unknown,0,0,0
202009,TI,10 - 19,male,0,0,0
202009,TI,10 - 19,female,0,0,0
202009,TI,10 - 19,unknown,0,0,0
202009,TI,20 - 29,male,0,0,0
202009,TI,20 - 29,female,0,0,0
202009,TI,20 - 29,unknown,0,0,0
202009,TI,30 - 39,male,0,0,0
202009,TI,30 - 39,female,0,0,0
202009,TI,30 - 39,unknown,0,0,0
202009,TI,40 - 49,male,0,0,0
202009,TI,40 - 49,female,0,0,0
202009,TI,40 - 49,unknown,0,0,0
202009,TI,50 - 59,male,0,1,0
202009,TI,50 - 59,female,2,1,0
202009,TI,50 - 59,unknown,0,0,0
